Estimate Status,Year,Wave,State,Common Name,Fishing Mode,Fishing Area,Observed Harvest (A),PSE,Reported Harvest (B1),PSE,Released Alive (B2),PSE
FINAL,2005,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,59601,17.7,829,53.6,8126,53.4
FINAL,2005,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,18333,61.7,3283,99.4,29518,75
FINAL,2005,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,62282,74.9,0,.,14405,70.1
FINAL,2005,MAY/JUNE,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,1375,56.2,0,.,0,.
FINAL,2005,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,2650,33.9,387,99.1,0,.
FINAL,2005,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,0,1264,99.7,0,.,0,.
FINAL,2005,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,21737,78.9,0,.,7101,98.9
FINAL,2005,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,3594,39.9,0,.,0,.
FINAL,2005,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,29206,21.9,290,67.6,1878,60.2
FINAL,2005,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,5024,97,0,.,3123,71.7
FINAL,2005,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,2252,83.9,0,.,175302,91.4
FINAL,2005,JULY/AUGUST,LOUISIANA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,0,.,587,92.2,0,.
FINAL,2005,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,7529,53.2,0,.,1679,61.8
FINAL,2005,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,9805,86.6,2802,86.6,0,.
FINAL,2005,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,2964,31.8,0,.,365,65.1
FINAL,2005,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,17596,26.9,0,.,3927,39.4
FINAL,2005,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,9444,96.1,0,.,4722,96.1
FINAL,2005,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,17737,75,0,.,9546,97.7
FINAL,2005,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,4,0,.,0,.,1045,100.9
FINAL,2005,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,885,58.8,0,.,0,.
FINAL,2005,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,20673,79.2,0,.,16717,79.2
FINAL,2005,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,24,103.2,0,.,0,.
FINAL,2005,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,4132,39.4,0,.,74,82.7
FINAL,2005,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,4,0,.,0,.,407,94.1
FINAL,2006,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,39,97.7,0,.,0,.
FINAL,2006,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,2882,78.6,0,.,964,97.6
FINAL,2006,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,4256,105.1,0,.,0,.
FINAL,2006,JANUARY/FEBRUARY,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,11107,55.8,0,.,312,101.8
FINAL,2006,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,29318,68.4,0,.,0,.
FINAL,2006,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,3371,68,0,.,509,81
FINAL,2006,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,23276,25.1,90,98.2,1845,60
FINAL,2006,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,22975,79,0,.,0,.
FINAL,2006,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,70549,94.9,30753,97.2,42668,75.5
FINAL,2006,MARCH/APRIL,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,1210,53.9,0,.,0,.
FINAL,2006,MAY/JUNE,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,0,71,87.8,0,.,0,.
FINAL,2006,MAY/JUNE,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,6550,40.9,0,.,1484,102.9
FINAL,2006,MAY/JUNE,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,18700,96.9,0,.,33686,75.2
FINAL,2006,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,9987,52.5,0,.,2815,88.7
FINAL,2006,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,49118,21.4,0,.,6190,53.1
FINAL,2006,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,8621,100.3,0,.,1363,101
FINAL,2006,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,58731,48.8,27827,79,78459,57.7
FINAL,2006,MAY/JUNE,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,1194,53.4,0,.,0,.
FINAL,2006,MAY/JUNE,MISSISSIPPI,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,4,0,.,0,.,423,100.4
FINAL,2006,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,SHORE,4,0,.,0,.,1019,103.5
FINAL,2006,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,22287,43.7,0,.,16138,64.5
FINAL,2006,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,298,104.2,0,.,4617,107
FINAL,2006,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,198,76.4,0,.,127,104.3
FINAL,2006,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,23640,20.9,0,.,1596,50.5
FINAL,2006,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,8561,51.2,0,.,0,.
FINAL,2006,JULY/AUGUST,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,261,46.9,0,.,0,.
FINAL,2006,JULY/AUGUST,MISSISSIPPI,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,1544,100.1,0,.,9859,90.1
FINAL,2006,JULY/AUGUST,MISSISSIPPI,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,4,0,.,0,.,770,100.7
FINAL,2006,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,0,332,59.7,0,.,0,.
FINAL,2006,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,4000,23.4,0,.,0,.
FINAL,2006,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,2057,105.1,0,.,6215,100.2
FINAL,2006,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,3185,52.6,388,98.4,657,70.4
FINAL,2006,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,12142,24,96,99.2,3926,59.4
FINAL,2006,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,2062,97.4,0,.,6116,99.6
FINAL,2006,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,0,.,0,.,3849,103.2
FINAL,2006,SEPTEMBER/OCTOBER,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,195,65.3,0,.,0,.
FINAL,2006,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,14720,99.3,0,.,0,.
FINAL,2006,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,814,61.2,0,.,0,.
FINAL,2006,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,8206,45.6,0,.,1026,94.6
FINAL,2006,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,25884,101,0,.,0,.
FINAL,2007,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,922,72.3,0,.,309,58
FINAL,2007,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,375,49.9,0,.,41,51.7
FINAL,2007,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,986,53.8,0,.,255,98.5
FINAL,2007,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,0,.,0,.,810,101.9
FINAL,2007,JANUARY/FEBRUARY,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,4359,62.3,0,.,550,99
FINAL,2007,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,4508,45.4,0,.,0,.
FINAL,2007,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,8945,96.4,0,.,0,.
FINAL,2007,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,2967,40.9,0,.,1631,84.4
FINAL,2007,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,6377,43.6,362,82.5,841,59.7
FINAL,2007,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,32661,96.4,0,.,16927,89.8
FINAL,2007,MARCH/APRIL,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,1238,68.4,0,.,40,95.8
FINAL,2007,MARCH/APRIL,LOUISIANA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,3203,86.3,0,.,0,.
FINAL,2007,MAY/JUNE,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,17024,69.2,0,.,0,.
FINAL,2007,MAY/JUNE,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,3398,104.4,0,.,0,.
FINAL,2007,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,2226,35.5,0,.,0,.
FINAL,2007,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,31268,26.1,271,72.4,1390,67.6
FINAL,2007,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,45954,58.5,0,.,34397,93.8
FINAL,2007,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,124264,64.2,0,.,40338,90.5
FINAL,2007,MAY/JUNE,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,1433,83.9,0,.,0,.
FINAL,2007,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,5128,59.5,0,.,321,101.7
FINAL,2007,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,1667,65.9,0,.,15165,84.4
FINAL,2007,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,4578,34.6,264,77.4,259,81.6
FINAL,2007,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,18675,29.3,1852,101,2881,54.8
FINAL,2007,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,50567,60.9,1604,100.4,39013,69.8
FINAL,2007,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,17627,57.8,0,.,4638,73.4
FINAL,2007,JULY/AUGUST,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,107,63.8,0,.,0,.
FINAL,2007,JULY/AUGUST,LOUISIANA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,0,0,.,2685,98.7,2014,98.7
FINAL,2007,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,1285,42.4,0,.,0,.
FINAL,2007,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,4071,35.5,28,100.5,1297,92.2
FINAL,2007,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,13953,29.2,0,.,2722,71.3
FINAL,2007,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,11745,76.8,0,.,20670,98.8
FINAL,2007,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,106025,79,0,.,2081,102.4
FINAL,2007,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,74,88,0,.,0,.
FINAL,2007,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,0,1832,97.2,0,.,0,.
FINAL,2007,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,111,109.4,0,.,0,.
FINAL,2007,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,1321,54.1,0,.,0,.
FINAL,2008,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,985,73.3,0,.,0,.
FINAL,2008,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,0,.,0,.,61,101.4
FINAL,2008,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,1988,61.8,95,100.3,96,94.7
FINAL,2008,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,21130,101.8,0,.,0,.
FINAL,2008,JANUARY/FEBRUARY,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,9247,77.8,0,.,0,.
FINAL,2008,JANUARY/FEBRUARY,LOUISIANA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,0,.,10237,92.7,0,.
FINAL,2008,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,7821,59.9,0,.,0,.
FINAL,2008,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,3902,43.3,0,.,380,68.1
FINAL,2008,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,13557,34.4,0,.,1864,52
FINAL,2008,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,4,292,89.9,0,.,0,.
FINAL,2008,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,0,.,0,.,21814,101
FINAL,2008,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,0,.,0,.,5516,99.2
FINAL,2008,MAY/JUNE,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,38117,35.5,0,.,224,29.2
FINAL,2008,MAY/JUNE,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,17755,72.5,0,.,0,.
FINAL,2008,MAY/JUNE,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,4,0,.,0,.,1092,92.6
FINAL,2008,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,6900,34,0,.,96,103.1
FINAL,2008,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,44468,24,142,99.2,4902,73
FINAL,2008,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,6873,100,0,.,0,.
FINAL,2008,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,22524,89.6,0,.,45813,88.1
FINAL,2008,MAY/JUNE,LOUISIANA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,0,.,9787,95.9,0,.
FINAL,2008,MAY/JUNE,LOUISIANA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,4,0,.,0,.,1198,99.2
FINAL,2008,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,SHORE,4,0,.,0,.,991,102.9
FINAL,2008,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,44372,54.8,0,.,0,.
FINAL,2008,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,3610,56,0,.,1419,66.7
FINAL,2008,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,22262,47.9,0,.,1985,60.7
FINAL,2008,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,31001,85.4,0,.,7317,100.3
FINAL,2008,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,9337,74.9,8177,99.6,6123,71.1
FINAL,2008,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,1527,108,0,.,0,.
FINAL,2008,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,9996,38.1,0,.,1868,37.3
FINAL,2008,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,19183,31.4,0,.,829,83.1
FINAL,2008,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,67726,70.7,0,.,44458,69.3
FINAL,2008,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,100,95.7,0,.,0,.
FINAL,2008,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,1475,55.3,0,.,126,103
FINAL,2008,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,24338,97.6,0,.,0,.
FINAL,2009,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,11,91.7,0,.,0,.
FINAL,2009,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,5124,57.8,160,101.5,107,101.5
FINAL,2009,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,11642,51.2,0,.,132,43.7
FINAL,2009,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,2409,63.5,0,.,21,100.3
FINAL,2009,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,30413,39.4,0,.,236,72.3
FINAL,2009,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,11126,101.2,0,.,55630,101.2
FINAL,2009,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,25557,102.5,146160,99.9,0,.
FINAL,2009,MARCH/APRIL,LOUISIANA,VERMILION SNAPPER,CHARTER BOAT,1,113,86.6,0,.,0,.
FINAL,2009,MAY/JUNE,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,10563,60.4,0,.,886,98.7
FINAL,2009,MAY/JUNE,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,0,0,.,0,.,3034,75.9
FINAL,2009,MAY/JUNE,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,15070,64,8038,95.9,0,.
FINAL,2009,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,6786,38.3,0,.,270,70.8
FINAL,2009,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,44940,29.2,0,.,743,69.5
FINAL,2009,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,819,100.9,0,.,0,.
FINAL,2009,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,34720,65.6,190568,95.3,1175,102.1
FINAL,2009,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,18876,93.3,0,.,698,99
FINAL,2009,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,17175,73.7,0,.,0,.
FINAL,2009,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,52403,24.2,641,100.9,1971,54.1
FINAL,2009,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,2789,71.4,0,.,63730,97.1
FINAL,2009,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,75858,68.1,1956,99.7,20368,91.6
FINAL,2009,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,7509,67.6,0,.,0,.
FINAL,2009,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,44070,83.6,0,.,26218,91.2
FINAL,2009,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,4160,42.4,0,.,0,.
FINAL,2009,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,21124,33.1,0,.,354,66.6
FINAL,2009,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,359,82.8,0,.,0,.
FINAL,2009,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,54,75,0,.,0,.
FINAL,2009,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,12516,102.2,0,.,0,.
FINAL,2009,NOVEMBER/DECEMBER,LOUISIANA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,0,.,0,.,23813,86.2
FINAL,2010,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,3945,59.4,0,.,0,.
FINAL,2010,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,1899,48.8,0,.,0,.
FINAL,2010,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,1407,97.7,0,.,0,.
FINAL,2010,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,1677,46.8,0,.,0,.
FINAL,2010,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,15134,40.5,0,.,660,87.5
FINAL,2010,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,6688,92.1,8493,99.7,16986,99.7
FINAL,2010,MAY/JUNE,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,5541,29,3746,96.1,15,96.1
FINAL,2010,MAY/JUNE,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,16569,100.7,0,.,15063,100.7
FINAL,2010,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,8175,73.7,0,.,1272,66.4
FINAL,2010,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,37810,29.8,62,102.3,424,85.3
FINAL,2010,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,22407,100.2,0,.,0,.
FINAL,2010,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,218238,59.8,0,.,0,.
FINAL,2010,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,8259,41,36,100.4,86,101.9
FINAL,2010,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,3290,56.3,546,88.7,50,87
FINAL,2010,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,15648,84.7,0,.,2995,98.8
FINAL,2010,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,21910,82.6,0,.,949,104.2
FINAL,2010,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,9958,99.3,0,.,0,.
FINAL,2010,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,21214,72.4,0,.,0,.
FINAL,2010,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,SHORE,2,0,.,0,.,1609,101.1
FINAL,2010,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,1965,52.1,0,.,0,.
FINAL,2010,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,13885,27.8,0,.,187,67.8
FINAL,2010,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,14647,71.3,0,.,0,.
FINAL,2010,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,7165,97.6,0,.,33207,100.6
FINAL,2010,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,4,0,.,0,.,4060,85.3
FINAL,2010,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,549,57.2,3414,63.4,0,.
FINAL,2010,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,37606,112.4,0,.,5014,112.4
FINAL,2010,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,2632,39.3,0,.,286,60.9
FINAL,2010,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,3869,47.3,0,.,0,.
FINAL,2010,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,17393,101,0,.,0,.
FINAL,2011,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,72,74.2,0,.,0,.
FINAL,2011,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,628,37.3,0,.,71,101.5
FINAL,2011,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,23866,58.8,0,.,0,.
FINAL,2011,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,4872,49.6,0,.,111,100.7
FINAL,2011,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,46433,22.7,0,.,646,62
FINAL,2011,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,5314,81,0,.,0,.
FINAL,2011,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,108136,67.8,0,.,33811,101.4
